zip,name,latitude,longitude
3630,"Maasmechelen",50.9655,5.6945
3631,"Boorsem",50.9421,5.719
3640,"Molenbeersel",51.1704,5.7376
3650,"Rotem",51.0529,5.741
3660,"Opglabbeek",51.1394,5.5154
3665,"As",51.0075,5.5845
3668,"Niel-Bij-As",51.0185,5.6053
3670,"Wijshagen",51.1049,5.5579
3680,"Neeroeteren",51.0916,5.6993
3690,"Zutendaal",50.9331,5.5753
3700,"Neerrepen",50.8109,5.4445
3717,"Herstappe",50.7261,5.4266
3720,"Kortessem",50.8589,5.3897
3721,"Vliermaalroot",50.8651,5.4262
3722,"Wintershoven",50.8516,5.4196
3723,"Guigoven",50.8392,5.4004
3724,"Vliermaal",50.8407,5.4286
3730,"Hoeselt",50.8471,5.4877
3732,"Schalkhoven",50.8413,5.4495
3740,"Munsterbilzen",50.8894,5.5265
3742,"Martenslinde",50.856,5.5338
3746,"Hoelbeek",50.8721,5.5591
3770,"Zichen-Zussen-Bolder",50.7942,5.6248
3790,"Fourons",50.7505,5.7832
3791,"Remersdaal",50.7314,5.8806
3792,"Fouron-Saint-Pierre",50.7386,5.8222
3793,"Teuven",50.7518,5.8757
3798,"Fouron-Le-Comte",50.7587,5.7611
3800,"Zepperen",50.8214,5.2477
3803,"Wilderen",50.8155,5.1423
3806,"Velm",50.7787,5.131
3830,"Berlingen",50.8194,5.3113
3831,"Herten",50.8351,5.3221
3832,"Ulbeek",50.8437,5.305
3840,"Kuttekoven",50.8092,5.3261
3850,"Binderveld",50.8608,5.1649
3870,"Rukkelingen-Loon",50.7284,5.2538
3890,"Jeuk",50.735,5.2099
3891,"Mielen-Boven-Aalst",50.7564,5.2142
3900,"Pelt",51.2104,5.4156
3910,"Neerpelt",51.2281,5.4427
3920,"Lommel",51.2307,5.3135
3930,"Hamont-Achel",51.2497,5.5055
3940,"Hechtel",51.1252,5.3677
3941,"Eksel",51.1518,5.3906
3945,"Oostham",51.1037,5.1788
3950,"Reppel",51.1541,5.5624
3960,"Tongerlo",51.1276,5.6609
3970,"Leopoldsburg",51.1167,5.25
3971,"Heppen",51.1093,5.229
3980,"Tessenderlo",51.0651,5.0886
3990,"Peer",51.1303,5.4595
9000,"Gent",51.05,3.7167
9030,"Mariakerke",51.0748,3.6829
9031,"Drongen",51.0507,3.6565
9032,"Wondelgem",51.087,3.7091
9040,"Sint-Amandsberg",51.0595,3.7494
9041,"Oostakker",51.1012,3.7695
9042,"Mendonk",51.147,3.8212
